date,total_book_value_jpy,total_market_value_jpy,profit_loss_jpy,profit_loss_rate
2026-05-01,5860000,6399581.34,539581.34,0.0921
2026-05-02,5860000,6416396.06,556396.06,0.0949
2026-05-03,5860000,6460184.45,600184.45,0.1024
2026-05-04,5860000,6399578.68,539578.68,0.0921
2026-05-05,5910000,6455458.39,545458.39,0.0923
2026-05-06,5910000,6521943.94,611943.94,0.1035
2026-05-07,5910000,6491915.46,581915.46,0.0985
2026-05-08,5910000,6481324.00,571324.00,0.0967
2026-05-09,5910000,6484080.34,574080.34,0.0971
2026-05-10,5930000,6498343.87,568343.87,0.0958
2026-05-11,5930000,6535704.50,605704.50,0.1021
2026-05-12,5930000,6553749.88,623749.88,0.1052
2026-05-13,5930000,6553749.88,623749.88,0.1052
2026-05-14,5930000,1862123.84,-4067876.16,-0.6860
